genus,MinimumElevation
Acanthocereus,7
Acharagma,1417
Ancistrocactus,947
Ariocarpus,758
Astrophytum,1104
Bergerocactus,210
Carnegiea,1640
Cephalocereus,792
Cereus,1021
Cleistocactus,366
Cochemiea,180
Corynopuntia,300
Coryphantha,1455
Cylindropuntia,872
Disocactus,1967
Echinocactus,891
Echinocereus,1247
Echinomastus,1286
Echinopsis,435
Epiphyllum,711
Epithelantha,997
Erdisia,335
Escobaria,700
Ferocactus,942
Glandulicactus,1253
Grusonia,924
Hylocereus,299
Lemaireocereus,274
Lophocereus,249
Lophophora,934
Machaerocereus,150
Mammillaria,793
Melocactus,25
Micropuntia,1452
Myrtillocactus,479
Neolloydia,1366
Nopalea,6
Nopalxochia,1219
Opuntia,1127
Pachycereus,298
Pediocactus,2031
Peniocereus,394
Pereskia,431
Pereskiopsis,498
Pilosocereus,553
Polaskia,1500
Pseudorhipsalis,914
Rathbunia,457
Rhipsalis,677
Sclerocactus,1569
Selenicereus,628
Stenocactus,1494
Stenocereus,383
Tephrocactus,369
Thelocactus,1102
Trichocereus,100
Turbinicarpus,2301
Weberocereus,1219
mammillaria,1918
